data,municipio,estado,bioma,avg_numero_dias_sem_chuva,avg_precipitacao,avg_risco_fogo,avg_frp
2024-10-01,CANDEIAS DO JAMARI,RONDÔNIA,Amazônia,0.27,12.87,9.44,332.87
2024-10-01,VILHENA,RONDÔNIA,Amazônia,1.57,48.43,83.86,58.57
2024-10-01,VILHENA,RONDÔNIA,Cerrado,0.0,0.0,63.0,741.0
2024-10-01,CACOAL,RONDÔNIA,Amazônia,1.0,0.0,0.0,4.67
2024-10-01,SÃO MIGUEL DO GUAPORÉ,RONDÔNIA,Amazônia,0.0,24.0,91.7,19.7
2024-10-01,COSTA MARQUES,RONDÔNIA,Amazônia,3.0,9.33,84.93,27.13
2024-10-01,NOVA MAMORÉ,RONDÔNIA,Amazônia,0.0,56.56,21.89,184.0
2024-10-01,ESPIGÃO D'OESTE,RONDÔNIA,Amazônia,1.96,98.0,79.88,180.92
2024-10-01,GUAJARÁ-MIRIM,RONDÔNIA,Amazônia,1.6,35.81,70.0,259.61
2024-10-01,MACHADINHO D'OESTE,RONDÔNIA,Amazônia,0.9,188.5,84.0,120.0
2024-10-01,ALTO PARAÍSO,RONDÔNIA,Amazônia,1.0,49.0,100.0,55.0
2024-10-01,NOVA BRASILÂNDIA D'OESTE,RONDÔNIA,Amazônia,1.0,110.0,62.0,256.0
2024-10-01,NOVA UNIÃO,RONDÔNIA,Amazônia,0.0,40.0,89.0,414.0
2024-10-01,CHUPINGUAIA,RONDÔNIA,Amazônia,0.0,0.0,48.0,38.0
2024-10-01,CUJUBIM,RONDÔNIA,Amazônia,2.8,137.4,99.4,90.6
2024-10-01,CAMPO NOVO DE RONDÔNIA,RONDÔNIA,Amazônia,0.0,0.0,89.45,244.0
2024-10-01,PIMENTEIRAS DO OESTE,RONDÔNIA,Amazônia,1.0,91.6,2.0,15.8
2024-10-01,PIMENTA BUENO,RONDÔNIA,Amazônia,0.0,0.0,70.0,437.67
2024-10-01,BURITIS,RONDÔNIA,Amazônia,0.25,10.5,100.0,95.5
2024-10-01,PORTO VELHO,RONDÔNIA,Amazônia,0.3,28.7,39.04,793.48
2024-10-01,SÃO FRANCISCO DO GUAPORÉ,RONDÔNIA,Amazônia,0.03,48.79,89.6,307.92
2024-10-01,RIO CRESPO,RONDÔNIA,Amazônia,8.0,181.23,90.92,917.23
2024-10-01,ALTA FLORESTA D'OESTE,RONDÔNIA,Amazônia,0.0,57.12,63.18,515.32
2024-10-01,ARIQUEMES,RONDÔNIA,Amazônia,11.0,40.0,100.0,76.5
2024-10-01,PORTO WALTER,ACRE,Amazônia,0.0,5.9,8.8,100.4
2024-10-01,BUJARI,ACRE,Amazônia,1.96,26.04,44.94,204.54
2024-10-01,RIO BRANCO,ACRE,Amazônia,2.21,21.14,53.05,112.45
2024-10-01,CAPIXABA,ACRE,Amazônia,3.88,0.0,95.79,90.21
2024-10-01,SANTA ROSA DO PURUS,ACRE,Amazônia,1.78,0.0,47.33,167.78
2024-10-01,SENADOR GUIOMARD,ACRE,Amazônia,3.95,0.0,86.85,241.5
2024-10-01,XAPURI,ACRE,Amazônia,2.14,4.84,39.04,174.36
2024-10-01,CRUZEIRO DO SUL,ACRE,Amazônia,0.0,0.0,5.46,120.75
2024-10-01,SENA MADUREIRA,ACRE,Amazônia,2.16,12.14,48.5,162.54
2024-10-01,EPITACIOLÂNDIA,ACRE,Amazônia,2.19,21.31,39.88,319.81
2024-10-01,ACRELÂNDIA,ACRE,Amazônia,4.0,6.67,71.0,42.0
2024-10-01,PORTO ACRE,ACRE,Amazônia,2.67,6.71,83.08,189.12
2024-10-01,FEIJÓ,ACRE,Amazônia,0.0,0.0,4.96,182.46
2024-10-01,ASSIS BRASIL,ACRE,Amazônia,3.37,0.0,78.73,111.28
2024-10-01,JORDÃO,ACRE,Amazônia,0.0,0.0,14.33,142.22
2024-10-01,MANOEL URBANO,ACRE,Amazônia,2.0,4.44,24.39,96.72
2024-10-01,TARAUACÁ,ACRE,Amazônia,0.0,0.12,1.85,128.88
2024-10-01,BRASILÉIA,ACRE,Amazônia,3.5,10.59,57.5,172.61
2024-10-01,SÃO GABRIEL DA CACHOEIRA,AMAZONAS,Amazônia,0.0,0.0,0.0,51.0
2024-10-01,ENVIRA,AMAZONAS,Amazônia,0.6,0.0,10.6,79.4
2024-10-01,NOVO ARIPUANÃ,AMAZONAS,Amazônia,0.18,27.5,71.4sss
2024-10-01,CARAUARI,AMAZONAS,Amazônia,0.0,10.0,14.0,49.0
2024-10-01,MARAÃ,AMAZONAS,Amazônia,0.0,19.0,0.0,58.0
2024-10-01,JUTAÍ,AMAZONAS,Amazônia,0.0,0.0,0.0,109.0
2024-10-01,IPIXUNA,AMAZONAS,Amazônia,0.09,23.5,9.06,177.41
2024-10-01,MANAUS,AMAZONAS,Amazônia,0.0,59.5,2.0,9.5
2024-10-01,AMATURÁ,AMAZONAS,Amazônia,0.0,0.0,0.0,107.25
2024-10-01,SÃO PAULO DE OLIVENÇA,AMAZONAS,Amazônia,0.0,2.5,2.0,66.63
2024-10-01,FONTE BOA,AMAZONAS,Amazônia,0.0,0.77,0.15,68.69
2024-10-01,CAAPIRANGA,AMAZONAS,Amazônia,1.65,169.3,0.9,38.3
2024-10-01,MAUÉS,AMAZONAS,Amazônia,1.5,451.5,1.0,79.0
2024-10-01,BENJAMIN CONSTANT,AMAZONAS,Amazônia,0.0,29.89,0.0,78.67
2024-10-01,LÁBREA,AMAZONAS,Amazônia,2.56,23.17,59.85,252.27
2024-10-01,ITACOATIARA,AMAZONAS,Amazônia,0.0,103.0,6.0,56.0
2024-10-01,SANTO ANTÔNIO DO IÇÁ,AMAZONAS,Amazônia,0.0,0.0,1.24,86.82
2024-10-01,SÃO SEBASTIÃO DO UATUMÃ,AMAZONAS,Amazônia,28.0,1490.0,1.0,0.0
2024-10-01,GUAJARÁ,AMAZONAS,Amazônia,0.0,3.79,10.93,617.79
2024-10-01,CANUTAMA,AMAZONAS,Amazônia,0.0,49.63,13.5,58.13
2024-10-01,TONANTINS,AMAZONAS,Amazônia,0.0,0.0,0.0,74.63
2024-10-01,MANICORÉ,AMAZONAS,Amazônia,0.48,18.12,45.88,115.16
2024-10-01,APUÍ,AMAZONAS,Amazônia,1.0,118.35,30.22,106.22
2024-10-01,ITAMARATI,AMAZONAS,Amazônia,0.0,7.5,2.5,57.0
2024-10-01,HUMAITÁ,AMAZONAS,Amazônia,0.0,28.54,45.92,81.62
2024-10-01,PAUINI,AMAZONAS,Amazônia,0.5,195.95,28.1,213.95
2024-10-01,BOCA DO ACRE,AMAZONAS,Amazônia,1.64,34.7,47.1,143.95
2024-10-01,ATALAIA DO NORTE,AMAZONAS,Amazônia,0.0,51.5,0.0,188.5
2024-10-01,TABATINGA,AMAZONAS,Amazônia,0.0,15.0,0.0,54.25
2024-10-01,NORMANDIA,RORAIMA,Amazônia,3.0,74.4,88.6,65.0
2024-10-01,UIRAMUTÃ,RORAIMA,Amazônia,0.0,1204.0,2.0,51.0
2024-10-01,PACARAIMA,RORAIMA,Amazônia,2.0,2138.0,0.0,105.76
2024-10-01,PARAUAPEBAS,PARÁ,Amazônia,0.0,871.86,1.0,28.14
2024-10-01,TUCURUÍ,PARÁ,Amazônia,0.0,1502.0,10.0,33.6
2024-10-01,CACHOEIRA DO PIRIÁ,PARÁ,Amazônia,39.0,88.0,91.0,30.0
2024-10-01,NOVO PROGRESSO,PARÁ,Amazônia,0.75,2569.25,1.5,81.38
2024-10-01,BELTERRA,PARÁ,Amazônia,1.67,577.67,47.0,114.67
2024-10-01,BRAGANÇA,PARÁ,Amazônia,54.0,92.0,100.0,23.0
2024-10-01,PORTEL,PARÁ,Amazônia,7.86,2169.0,0.99,191.8
2024-10-01,BAIÃO,PARÁ,Amazônia,9.5,143.0,79.25,54.5
2024-10-01,SANTA MARIA DAS BARREIRAS,PARÁ,Amazônia,0.22,36.43,52.13,130.3
2024-10-01,ULIANÓPOLIS,PARÁ,Amazônia,34.0,44.0,99.0,469.5
2024-10-01,AURORA DO PARÁ,PARÁ,Amazônia,5.0,562.5,66.5,70.0
2024-10-01,SÃO CAETANO DE ODIVELAS,PARÁ,Amazônia,0.0,2054.0,2.0,38.0
2024-10-01,MONTE ALEGRE,PARÁ,Amazônia,0.5,245.5,34.0,6.0
2024-10-01,CONCÓRDIA DO PARÁ,PARÁ,Amazônia,0.89,963.56,7.89,72.78
2024-10-01,NOVO REPARTIMENTO,PARÁ,Amazônia,8.68,3630.0,0.0,423.84
2024-10-01,CUMARU DO NORTE,PARÁ,Amazônia,4.91,370.27,44.09,60.27
2024-10-01,CHAVES,PARÁ,Amazônia,20.17,199.5,85.25,67.58
2024-10-01,ACARÁ,PARÁ,Amazônia,0.0,1474.08,1.0,130.08
2024-10-01,SANTA BÁRBARA DO PARÁ,PARÁ,Amazônia,3.0,1292.0,2.0,33.0
2024-10-01,CURIONÓPOLIS,PARÁ,Amazônia,21.0,1165.0,5.0,46.0
2024-10-01,URUARÁ,PARÁ,Amazônia,13.03,897.3,30.32,14.3
2024-10-01,FLORESTA DO ARAGUAIA,PARÁ,Amazônia,0.5,176.0,100.0,14.0
2024-10-01,IGARAPÉ-MIRI,PARÁ,Amazônia,3.0,105.5,36.0,489.0
2024-10-01,AVEIRO,PARÁ,Amazônia,0.0,507.0,6.0,83.0
2024-10-01,SÃO FRANCISCO DO PARÁ,PARÁ,Amazônia,28.15,2731.54,4.15,124.62
2024-10-01,CURRALINHO,PARÁ,Amazônia,1.0,148.33,75.0,68.67
2024-10-01,ALMEIRIM,PARÁ,Amazônia,14.0,60.75,70.75,168.38
2024-10-01,REDENÇÃO,PARÁ,Amazônia,0.0,0.0,99.13,96.0
2024-10-01,MOCAJUBA,PARÁ,Amazônia,4.0,151.0,58.0,126.0
2024-10-01,CAPITÃO POÇO,PARÁ,Amazônia,12.38,439.75,89.37,100.88
2024-10-01,GARRAFÃO DO NORTE,PARÁ,Amazônia,6.25,184.5,72.75,89.25
2024-10-01,BREVES,PARÁ,Amazônia,0.25,461.0,1.75,48.25
2024-10-01,TAILÂNDIA,PARÁ,Amazônia,5.0,307.5,66.5,50.0
2024-10-01,RIO MARIA,PARÁ,Amazônia,0.0,646.0,100.0,76.0
